Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Takefusa Kubo,jp JPN,"AT,LT",Real Sociedad,22,30,24,7,4,0,0,1,0,3.5,6.4,136,89,231
Luca de la Torre,us USA,LT,Celta Vigo,25,31,22,1,4,0,0,4,1,2.5,1.4,58,93,88
Yoel Lago,es ESP,ZG,Celta Vigo,19,1,1,0,0,0,0,0,0,0.0,0.0,0,2,0
Érik Lamela,ar ARG,"AT,LT",Sevilla,31,13,5,2,0,0,0,3,0,1.0,1.0,11,17,28
Bruno Langa,mz MOZ,ZG,Almería,25,11,9,1,0,0,0,1,1,0.2,0.4,14,25,30
Cyle Larin,ca CAN,AT,Mallorca,28,35,20,3,2,0,0,8,0,9.0,1.4,20,13,103
Juanmi Latasa,es ESP,AT,Getafe,22,32,15,2,0,0,0,7,1,3.6,1.5,7,16,82
Toni Lato,es ESP,ZG,Mallorca,25,28,16,0,1,0,0,3,0,0.2,1.3,30,39,110
Lázaro,br BRA,"AT,LT",Almería,21,14,2,0,0,0,0,0,0,0.9,0.5,5,6,34
Robin Le Normand,es ESP,ZG,Real Sociedad,26,29,28,2,0,0,0,13,0,1.0,0.1,21,106,1
Jeremías Ledesma,ar ARG,G,Cádiz,30,34,34,0,0,0,0,0,0,0.0,0.1,0,0,0
Florian Lejeune,fr FRA,ZG,Rayo Vallecano,32,37,37,3,1,0,0,5,0,3.3,0.7,15,114,4
Stefan Lekovic,rs SRB,ZG,Villarreal,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Iñigo Lekue,es ESP,ZG,Athletic Club,30,27,22,0,2,0,0,4,0,0.2,1.1,44,119,35
Thomas Lemar,fr FRA,LT,Atlético Madrid,27,3,3,0,0,0,0,0,0,0.2,0.0,5,13,9
Álvaro Lemos,es ESP,ZG,Las Palmas,30,4,3,0,0,0,0,1,0,0.0,0.0,6,17,8
Ruben Lendinez,es ESP,ZG,Valencia,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,3
Robert Lewandowski,pl POL,AT,Barcelona,34,35,32,19,8,4,4,5,0,18.1,4.9,43,64,168
Samuel Lino,br BRA,"ZG,LT",Atlético Madrid,23,34,25,4,5,0,0,1,0,5.6,4.7,131,84,215
Javier Llabrés,es ESP,"LT,AT",Mallorca,20,16,1,1,0,0,0,1,0,0.7,0.3,9,5,30
Marcos Llorente,es ESP,"LT,ZG",Atlético Madrid,28,37,29,6,4,0,0,5,0,4.1,5.6,71,106,179
Enzo Loiodice,fr FRA,LT,Las Palmas,22,34,19,0,1,0,0,2,0,0.5,1.3,27,97,72
David López,es ESP,ZG,Girona,33,25,25,3,0,0,0,4,0,2.1,0.2,15,54,1
Diego López,es ESP,"LT,AT",Valencia,21,36,30,3,6,0,0,2,0,3.7,5.4,75,73,180
Fermin López,es ESP,"LT,AT",Barcelona,20,31,14,8,0,0,0,2,0,7.5,1.1,42,76,93
Javi López,es ESP,ZG,Alavés,21,32,25,1,3,0,0,3,0,0.9,3.0,53,92,120
Unai López,es ESP,LT,Rayo Vallecano,27,35,28,1,2,0,0,8,0,1.1,2.5,32,116,59
