Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Melvin Bard,fr FRA,ZG,Nice,22,32,31,1,2,0,0,7,1,0.5,2.8,60,111,99
Steven Baseya,fr FRA,ZG,Strasbourg,18,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Mohamed Bechikh,fr FRA,"AT,LT",Strasbourg,18,2,0,0,0,0,0,0,0,0.0,0.0,0,0,3
Yanis Begraoui,ma MAR,"AT,LT",Toulouse,22,14,3,0,0,0,0,0,0,0.4,0.1,9,8,30
Jérémie Bela,ao ANG,"LT,AT",Clermont Foot,30,12,1,0,0,0,0,0,0,0.2,0.1,14,10,33
Reda Belahyane,fr FRA,LT,Nice,19,1,0,0,0,0,0,0,0,0.0,0.0,1,1,0
Alaa Bellaarouch,ma MAR,G,Strasbourg,21,15,15,0,0,0,0,1,0,0.0,0.0,0,0,0
Jean-Ricner Bellegarde,fr FRA,"LT,AT",Strasbourg,25,3,3,2,2,0,0,2,0,0.6,1.5,9,11,10
Jeanuël Belocian,fr FRA,ZG,Rennes,18,23,16,0,1,0,0,0,0,0.5,0.4,16,60,37
Eliesse Ben Seghir,ma MAR,"LT,AT",Monaco,18,13,4,2,1,0,0,0,1,0.8,0.5,26,21,56
Wissam Ben Yedder,fr FRA,AT,Monaco,32,32,26,16,2,1,1,2,0,12.4,4.3,52,96,229
Saïd Benrahma,dz ALG,"AT,LT",Lyon,27,12,10,3,3,0,0,2,0,1.6,3.6,46,34,113
Nabil Bentaleb,dz ALG,LT,Lille,28,26,23,0,3,0,0,7,0,0.4,0.9,11,136,17
Lucas Beraldo,br BRA,ZG,Paris S-G,19,13,12,1,0,0,0,4,1,1.0,0.2,7,44,2
Dimitry Bertaud,cd COD,G,Montpellier,25,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0
Marco Bizot,nl NED,G,Brest,32,32,32,0,0,0,0,3,1,0.0,0.1,0,1,0
Rubén Blanco,es ESP,G,Marseille,28,2,1,0,0,0,0,0,0,0.0,0.0,0,2,0
Ludovic Blas,fr FRA,"AT,LT",Rennes,25,29,18,4,1,1,2,3,0,4.7,1.7,46,59,157
Myron Boadu,nl NED,AT,Monaco,22,9,0,1,0,0,0,0,0,0.4,0.0,3,1,9
Jeremie Boga,ci CIV,AT,Nice,26,28,24,6,6,0,0,1,0,4.3,4.2,107,64,170
Adama Bojang,gm GAM,AT,Reims,19,9,0,0,0,0,0,1,0,1.3,0.0,2,1,8
Ângelo Borges,br BRA,"AT,LT",Strasbourg,18,21,11,0,3,0,0,1,0,0.4,3.3,50,59,109
Neto Borges,br BRA,ZG,Clermont Foot,26,28,28,0,1,0,0,3,1,0.5,2.8,58,88,165
Saïmon Bouabré,fr FRA,LT,Monaco,17,1,0,0,0,0,0,0,0,0.0,0.0,2,3,5
Ayyoub Bouaddi,fr FRA,LT,Lille,15,9,1,0,0,0,0,3,1,0.0,0.0,1,12,2
Badredine Bouanani,dz ALG,AT,Nice,18,7,1,0,0,0,0,0,0,0.2,0.5,10,2,24
Badredine Bouanani,dz ALG,LT,Lorient,18,11,4,1,0,0,0,0,0,1.4,0.9,30,32,27
Mohamed Bouchenna,fr FRA,"LT,AT",Clermont Foot,17,2,0,0,0,0,0,1,0,0.1,0.2,0,1,3
Hicham Boudaoui,dz ALG,LT,Nice,23,29,17,2,0,0,0,5,0,3.3,1.8,28,78,58
Benjamin Bourigeaud,fr FRA,"LT,AT",Rennes,29,32,29,9,6,7,7,1,0,9.9,6.7,27,178,139
Bilal Boutobba,fr FRA,"AT,LT",Clermont Foot,24,27,10,1,1,0,0,1,0,2.0,1.7,38,43,86
Hugo Boutsingkham,fr FRA,"LT,AT",Nantes,20,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Bilal Brahimi,dz ALG,AT,Nice,23,2,0,0,0,0,0,0,0,0.0,0.1,1,0,6
Bilal Brahimi,dz ALG,"AT,LT",Brest,23,18,1,0,0,0,0,1,1,0.1,0.3,15,9,39
Lilian Brassier,fr FRA,ZG,Brest,23,30,30,3,0,0,0,11,1,1.1,0.6,20,121,5
Maxime Busi,be BEL,"AT,ZG",Reims,23,5,1,0,0,0,0,1,0,0.2,0.2,3,3,12
Marcin Bułka,pl POL,G,Nice,23,34,34,0,0,0,0,2,0,0.1,0.0,0,0,0
Rémy Cabella,fr FRA,"AT,LT",Lille,33,30,14,2,2,0,0,0,0,5.2,3.3,72,106,160
