Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Mateus Fernandes,pt POR,AT,Sporting CP,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Rafael Fernandes,pt POR,ZG,Arouca,21,11,8,0,0,0,0,2,1,0.2,0.1,5,27,2
Roger Fernandes,gw GNB,"LT,AT",Braga,17,14,7,2,7,0,0,1,0,3.5,3.0,30,23,84
Rúben Fernandes,pt POR,ZG,Gil Vicente FC,37,29,29,1,0,0,0,4,0,0.7,0.7,6,87,2
Vasco Fernandes,pt POR,ZG,Casa Pia,36,10,10,0,0,0,0,2,0,0.1,0.1,2,18,4
Vasco Fernandes,pt POR,ZG,Chaves,36,17,17,0,0,0,0,6,0,0.3,0.0,4,43,1
Fernando,br BRA,"AT,LT",Casa Pia,30,20,4,2,0,1,1,0,0,1.4,0.1,7,10,37
Filipe Ferreira,pt POR,ZG,Boavista,32,26,20,0,1,0,0,4,0,0.2,0.7,19,63,42
Marcelo dos Santos Ferreira,br BRA,ZG,Moreirense,34,26,26,2,1,0,0,4,0,0.9,0.3,2,55,0
Vitó Ferreira,pt POR,LT,Estrela,25,9,8,0,0,0,0,0,0,0.2,0.2,2,24,10
Gonçalo Filipe,pt POR,G,Chaves,23,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Diogo Fonseca,pt POR,ZG,Estrela,21,5,5,0,0,0,0,0,0,0.5,0.0,2,6,0
Tiago Fonseca Morais,pt POR,"AT,LT",Boavista,19,17,17,6,2,1,1,5,2,2.8,2.8,41,70,98
Théo Fonseca,fr FRA,AT,Famalicão,23,14,8,2,0,0,0,0,0,2.0,0.2,6,11,25
José Fonte,pt POR,ZG,Braga,39,19,16,0,0,0,0,8,0,0.3,0.8,10,84,5
Hernâni Fortes,pt POR,AT,Rio Ave,31,12,3,0,1,0,0,0,0,0.4,0.9,7,4,33
André Franco,pt POR,"LT,AT",Porto,25,15,5,0,1,0,0,1,0,0.7,1.8,8,31,27
Gonçalo Franco,pt POR,LT,Moreirense,22,33,32,2,4,0,0,7,0,1.9,3.0,17,103,57
Afonso freitas,pt POR,"ZG,LT",Vitória,23,13,11,0,0,0,0,3,0,0.2,0.4,8,18,50
Iván Fresneda,es ESP,"LT,ZG",Sporting CP,18,5,0,0,0,0,0,0,0,0.0,0.0,3,2,3
Godfried Frimpong,nl NED,ZG,Moreirense,24,31,21,1,2,0,0,2,0,0.2,1.6,24,75,79
Kanya Fujimoto,jp JPN,LT,Gil Vicente FC,24,33,21,3,6,1,1,0,0,3.5,3.1,41,103,102
Taichi Fukui,jp JPN,LT,Portimonense,19,11,7,1,1,0,0,0,0,0.4,0.7,7,24,11
Galeno,br BRA,"AT,LT",Porto,25,31,24,9,7,1,2,5,0,9.2,5.3,107,66,312
Nino Galović,hr CRO,ZG,Arouca,31,18,16,0,1,0,0,3,0,0.4,0.5,3,41,1
Fabrício Garcia,,"AT,LT",Estoril,22,10,3,2,0,0,0,1,0,1.0,0.1,11,6,19
