Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Sergi Rosanas,es ESP,ZG,Sparta R'dam,22,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Rayvien Rosario,cw CUW,"AT,ZG",Sparta R'dam,19,6,0,0,0,0,0,0,0,0.2,0.0,1,4,8
Loreintz Rosier,fr FRA,LT,Fortuna Sittard,24,30,18,1,0,0,0,4,0,0.8,0.9,11,79,7
Mathias Ross,dk DEN,ZG,NEC Nijmegen,22,20,9,2,0,0,0,3,0,0.9,0.3,6,24,1
Nils Rossen,nl NED,"LT,AT",NEC Nijmegen,17,3,0,0,0,0,0,0,0,0.0,0.0,0,2,0
Daan Rots,nl NED,AT,Twente,22,33,33,7,10,0,0,3,0,4.6,5.4,84,173,318
Mats Rots,nl NED,ZG,Twente,17,1,1,0,0,0,0,0,0,0.0,0.0,7,3,1
Manu Royo,es ESP,ZG,Almere City,29,12,8,0,0,0,0,2,0,0.1,1.0,21,28,40
Gerónimo Rulli,ar ARG,G,Ajax,31,7,7,0,0,0,0,0,0,0.0,0.0,0,1,0
Mathew Ryan,au AUS,G,AZ Alkmaar,31,29,29,0,0,0,0,0,0,0.0,0.0,0,2,0
Pim Saathof,nl NED,ZG,Go Ahead Eag,19,4,0,0,0,0,0,0,0,0.0,0.0,1,3,1
Michal Sadílek,cz CZE,LT,Twente,24,31,31,1,3,0,0,7,1,1.1,3.2,53,182,89
Ibrahim Sadiq,gh GHA,"AT,LT",AZ Alkmaar,23,16,5,2,3,0,0,3,0,1.7,0.9,12,20,56
Modibo Sagnan,ml MLI,ZG,Utrecht,24,13,10,1,0,0,0,1,0,0.5,0.0,4,37,1
Samuel Şahin-Radlinger,at AUT,G,Almere City,30,6,5,0,0,0,0,0,0,0.0,0.0,0,0,0
Osame Sahraoui,no NOR,AT,Heerenveen,22,32,28,8,4,0,0,0,0,6.8,4.0,166,108,293
Ismael Saibari,ma MAR,LT,PSV Eindhoven,22,19,10,5,4,0,0,1,0,5.5,2.5,45,63,68
Koki Saito,jp JPN,AT,Sparta R'dam,21,21,20,3,5,0,0,0,0,4.2,3.2,66,69,175
Anass Salah-Eddine,nl NED,ZG,Ajax,21,6,2,0,1,0,0,0,0,0.1,0.5,6,17,23
Anass Salah-Eddine,nl NED,"ZG,LT",Twente,21,6,0,0,1,0,0,0,0,0.0,0.5,6,12,12
Shurandy Sambo,nl NED,ZG,PSV Eindhoven,21,11,1,0,0,0,0,0,0,0.0,0.2,4,6,9
Alfons Sampsted,is ISL,ZG,Twente,25,24,18,0,2,0,0,1,0,0.5,1.2,24,65,46
Philippe Sandler,nl NED,ZG,NEC Nijmegen,26,24,23,0,0,0,0,3,0,0.3,1.0,8,96,6
Cisse Sandra,be BEL,LT,Excelsior,19,26,19,1,1,0,0,2,0,2.1,0.9,15,46,35
Ibrahim Sangaré,ci CIV,LT,PSV Eindhoven,25,2,2,0,1,0,0,0,0,0.1,0.5,4,19,0
Mohamed Sankoh,nl NED,AT,Heracles Almelo,19,28,12,6,0,0,0,2,0,9.0,0.4,13,13,55
Kodai Sano,jp JPN,"AT,LT",NEC Nijmegen,19,24,17,4,2,0,0,3,0,3.2,1.3,39,56,96
Antonio Satriano,it ITA,AT,Heracles Almelo,19,6,1,0,0,0,0,0,0,0.7,0.0,0,2,2
Leo Sauer,sk SVK,"AT,LT",Feyenoord,17,13,0,2,3,0,0,1,0,1.3,2.3,26,17,73
Jasper Schendelaar,nl NED,G,Zwolle,22,32,32,0,0,0,0,0,0,0.0,0.2,0,0,0
Sem Scheperman,nl NED,"LT,ZG",Heracles Almelo,21,22,8,0,0,0,0,4,0,1.3,0.6,1,15,22
Lasse Schöne,dk DEN,LT,NEC Nijmegen,37,23,13,1,3,1,1,2,0,1.0,1.7,16,82,25
Jerdy Schouten,nl NED,"LT,ZG",PSV Eindhoven,26,29,28,4,0,0,0,3,0,3.0,1.0,22,171,45
Daniel Schwaab,de GER,ZG,Heracles Almelo,34,11,6,1,1,0,0,2,0,,,,,
Vivaldo Semedo,pt POR,AT,Volendam,18,13,7,1,0,0,0,1,0,3.1,0.4,5,9,20
Nicolás Serrano,es ESP,"AT,LT",Zwolle,20,10,0,0,1,0,0,1,0,0.3,0.1,6,5,30
Mats Seuntjens,nl NED,"AT,LT",Utrecht,31,15,11,1,1,0,0,2,0,3.8,2.2,20,33,36
Mats Seuntjens,nl NED,"AT,LT",RKC Waalwijk,31,12,10,1,1,0,0,2,0,1.1,2.0,22,25,39
José Pascual Alba Seva,es ESP,AT,Almere City,23,3,1,0,0,0,0,0,0,0.0,0.1,3,0,5
Serano Seymor,nl NED,ZG,Excelsior,21,9,4,0,0,0,0,1,0,0.0,0.0,5,10,0
Kaj Sierhuis,nl NED,AT,Fortuna Sittard,25,31,27,12,3,1,2,4,0,12.6,2.6,42,50,130
Dimitris Siovas,gr GRE,ZG,Fortuna Sittard,34,27,27,0,0,0,0,6,0,0.7,0.2,9,67,8
Gijs Smal,nl NED,ZG,Twente,25,26,24,0,3,0,0,3,0,1.2,3.4,69,144,144
Ian Smeulers,nl NED,ZG,Excelsior,23,6,1,0,0,0,0,1,0,0.0,0.0,1,3,3
Kees Smit,nl NED,LT,AZ Alkmaar,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Sven Sonnenberg,de GER,ZG,Heracles Almelo,24,25,18,1,0,0,0,3,0,1.4,0.2,14,48,4
Borna Sosa,hr CRO,ZG,Ajax,25,16,10,0,4,0,0,1,0,0.1,1.4,23,49,53
Sylla Sow,nl NED,AT,Go Ahead Eag,26,18,4,5,1,0,0,1,0,3.1,0.5,13,12,44
Sylla Sow,nl NED,AT,NEC Nijmegen,26,15,4,2,1,0,0,1,0,2.3,0.5,10,5,24
Mark Spenkelink,nl NED,G,RKC Waalwijk,26,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Finn Stam,nl NED,ZG,AZ Alkmaar,20,1,0,0,0,0,0,0,0,0.0,0.0,1,1,0
Sem Steijn,nl NED,LT,Twente,21,34,32,17,3,1,1,1,0,12.9,2.2,28,100,143
Calvin Stengs,nl NED,"LT,AT",Feyenoord,24,29,26,6,12,0,0,2,0,5.2,7.8,75,146,171
Filip Stevanovic,rs SRB,"AT,LT",RKC Waalwijk,20,16,7,2,0,0,0,1,0,1.5,0.9,34,17,65
Finn Stokkers,nl NED,AT,Go Ahead Eag,27,14,2,0,2,0,0,0,0,1.4,0.9,11,4,23
Yukinari Sugawara,jp JPN,ZG,AZ Alkmaar,23,30,30,4,7,0,0,1,0,2.0,6.0,64,154,132
Josip Šutalo,hr CRO,ZG,Ajax,23,23,22,1,0,0,0,2,0,1.3,0.2,14,67,4
Anas Tahiri,be BEL,LT,Heerenveen,28,24,13,4,2,4,4,2,0,3.6,1.1,30,86,38
Benjamin Tahirovic,ba BIH,LT,Ajax,20,26,18,2,4,0,0,5,0,1.1,1.7,16,99,20
Ilias Takidine,be BEL,"AT,LT",RKC Waalwijk,22,8,0,0,0,0,0,0,0,0.8,0.0,4,2,12
Elayis Tavsan,nl NED,AT,NEC Nijmegen,22,8,3,2,0,0,0,3,1,0.8,0.1,24,5,50
Kenneth Taylor,nl NED,"LT,ZG",Ajax,21,34,31,5,5,0,0,3,0,5.4,4.9,78,185,157
Søren Tengstedt,dk DEN,"LT,AT",Go Ahead Eag,23,14,2,0,2,0,0,0,0,0.9,0.9,13,11,25
Hidde ter Avest,nl NED,ZG,Utrecht,26,27,24,0,1,0,0,2,0,1.3,2.6,16,85,117
Jordan Teze,nl NED,ZG,PSV Eindhoven,23,30,29,2,9,0,0,4,0,1.2,6.7,66,240,163
Ryan Thomas,nz NZL,LT,Zwolle,28,7,5,0,0,0,0,1,0,0.1,0.0,8,20,6
Lennart Thy,de GER,"AT,LT",Zwolle,31,32,30,13,2,0,0,2,0,8.8,1.7,18,70,118
Mathijs Tielemans,nl NED,LT,Vitesse,21,25,18,1,1,0,0,3,0,0.6,1.7,27,89,29
Guus Til,nl NED,LT,PSV Eindhoven,25,30,23,10,5,0,0,0,0,11.1,4.9,49,93,194
Malik Tillman,us USA,"AT,LT",PSV Eindhoven,21,28,17,9,10,0,0,2,0,6.8,8.7,55,84,150
Quinten Timber,nl NED,LT,Feyenoord,22,31,31,7,9,0,0,4,0,6.8,7.1,60,187,173
Nathan Tjoe-A-On,id IDN,"AT,ZG",Heerenveen,21,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Jens Toornstra,nl NED,"LT,AT",Utrecht,34,31,21,4,5,0,0,3,0,3.0,5.2,14,89,105
Gernot Trauner,at AUT,ZG,Feyenoord,31,19,16,1,2,0,0,1,0,0.7,1.1,24,112,4
Calvin Twigt,nl NED,LT,Volendam,20,26,22,2,0,1,1,4,0,1.9,2.3,36,105,60
Przemysław Tytoń,pl POL,G,Twente,36,2,2,0,0,0,0,0,0,0.0,0.0,0,0,0
Oscar Uddenäs,se SWE,"AT,LT",Excelsior,20,23,2,3,0,0,0,1,0,1.4,0.4,6,6,36
Jeremy Udenhout,nl NED,ZG,Excelsior,20,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Ayase Ueda,jp JPN,"AT,LT",Feyenoord,24,26,5,5,2,0,1,0,0,8.3,2.5,10,21,80
Manfred Ugalde,cr CRC,AT,Twente,21,18,17,7,6,0,0,3,0,7.9,4.4,20,30,89
Jesper Uneken,nl NED,AT,PSV Eindhoven,18,1,0,1,0,0,0,0,0,0.4,0.0,0,0,0
Lars Unnerstall,de GER,G,Twente,33,32,32,0,0,0,0,2,0,0.0,0.0,0,2,0
Naci Ünüvar,nl NED,"AT,LT",Twente,20,19,2,3,3,0,0,0,0,2.5,1.4,16,38,54
Etienne Vaessen,sr SUR,G,RKC Waalwijk,28,30,30,0,0,0,0,3,1,0.0,0.0,0,4,0
Amourrichio Van Axel Dongen,nl NED,AT,Ajax,18,3,1,0,0,0,0,0,0,0.0,0.0,1,0,3
Dave Van Den Berg,nl NED,LT,Zwolle,23,30,29,5,2,0,0,7,0,3.1,2.8,43,181,97
Dario Van den Buijs,be BEL,ZG,RKC Waalwijk,27,30,30,0,3,0,0,4,0,1.0,2.1,36,201,9
Jason Van Duiven,nl NED,"AT,LT",Almere City,18,13,1,0,0,0,0,1,0,0.4,0.1,2,5,15
Alec Van Hoorenbeeck,be BEL,ZG,Twente,24,16,3,0,0,0,0,1,0,0.5,0.0,3,14,6
Syb Van Ottele,nl NED,"ZG,LT",Heerenveen,21,26,15,0,1,0,0,1,0,1.0,0.7,26,72,8
Joey Veerman,nl NED,LT,PSV Eindhoven,24,29,28,5,16,0,0,1,0,4.3,14.2,52,315,77
Marko Vejinović,nl NED,LT,Heracles Almelo,33,14,7,0,0,0,0,5,0,0.6,1.0,3,85,18
Odysseus Velanas,nl NED,"LT,AT",Zwolle,25,31,24,5,5,0,0,5,0,5.0,4.1,57,56,159
Apostolos Vellios,gr GRE,"AT,LT",Zwolle,31,27,4,3,2,0,0,4,0,3.1,0.9,3,11,34
Tijs Velthuis,nl NED,ZG,Sparta R'dam,21,25,19,0,0,0,0,2,0,1.0,0.1,10,65,2
Calvin Verdonk,nl NED,ZG,NEC Nijmegen,26,33,32,2,2,0,0,5,0,1.4,2.2,67,167,101
Hobie Verhulst,nl NED,G,AZ Alkmaar,30,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Michael Verrips,nl NED,G,Fortuna Sittard,26,12,12,0,0,0,0,0,0,0.0,0.1,0,0,0
Arno Verschueren,be BEL,LT,Sparta R'dam,26,27,27,9,2,0,0,3,1,5.4,3.6,38,87,146
Yorbe Vertessen,be BEL,AT,PSV Eindhoven,22,17,3,3,1,0,0,0,0,2.3,1.6,35,13,50
Niklas Vesterlund,dk DEN,"ZG,AT",Utrecht,24,9,3,0,0,0,0,1,0,0.0,0.5,2,5,13
Nick Viergever,nl NED,ZG,Utrecht,33,25,23,1,0,0,0,1,1,0.7,0.6,25,117,7
Andy Visser,,AT,Vitesse,,9,2,0,0,0,0,0,0,1.2,0.1,2,3,8
Rémy Vita,mg MAD,"ZG,LT",Fortuna Sittard,22,15,6,0,0,0,0,1,0,0.2,0.2,12,14,27
Michel Vlap,nl NED,AT,Twente,26,29,24,2,6,0,0,2,0,4.6,4.1,51,95,155
Joel Voelkerling Persson,se SWE,AT,Vitesse,20,9,2,0,0,0,0,1,0,0.2,0.0,1,1,17
Siemen Voet,be BEL,ZG,Fortuna Sittard,23,21,9,0,0,0,0,2,0,0.5,0.4,9,30,7
Silvano Vos,nl NED,LT,Ajax,18,11,3,0,0,0,0,3,0,0.2,0.1,1,8,2
Bart Vriends,nl NED,ZG,Sparta R'dam,32,26,26,2,1,0,0,3,0,1.9,0.8,11,112,4
Patrick Vroegh,nl NED,LT,RKC Waalwijk,23,3,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Patrik Wålemark,se SWE,AT,Heerenveen,21,24,16,3,2,0,0,2,0,3.6,1.5,34,24,101
Django Warmerdam,nl NED,"ZG,AT",Sparta R'dam,27,15,11,0,0,0,0,1,0,0.6,0.4,11,29,36
Boy Waterman,nl NED,G,PSV Eindhoven,39,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Charlie Webster,eng ENG,"LT,AT",Heerenveen,19,13,2,1,0,0,0,0,1,0.9,0.2,6,10,13
Lasse Wehmeyer,de GER,AT,Heracles Almelo,20,7,2,0,0,0,0,0,0,0.4,0.2,1,5,13
Daouda Weidmann,ci CIV,"LT,ZG",RKC Waalwijk,20,3,0,0,0,0,0,0,0,0.0,0.1,1,0,2
Timon Wellenreuther,de GER,G,Feyenoord,27,19,17,0,0,0,0,3,0,0.0,0.5,0,6,0
Sai van Wermeskerken,jp JPN,ZG,NEC Nijmegen,29,3,1,0,0,0,0,1,0,0.0,0.0,0,4,3
Casper Widell,se SWE,ZG,Excelsior,20,30,27,1,0,0,0,1,0,1.0,0.1,6,59,1
Jannes Wieckhoff,de GER,ZG,Heracles Almelo,22,18,15,0,1,0,0,3,0,1.0,0.9,30,35,55
Mats Wieffer,nl NED,LT,Feyenoord,23,29,29,5,3,0,0,2,0,5.2,3.2,45,231,87
Owen Wijndal,nl NED,ZG,Ajax,23,2,0,0,0,0,0,0,0,0.0,0.4,1,4,7
Jetro Willems,nl NED,ZG,Heracles Almelo,29,20,11,0,0,0,0,2,0,0.3,0.8,17,50,40
Dani de Wit,nl NED,LT,AZ Alkmaar,25,32,29,10,3,1,1,7,1,5.8,2.5,16,76,107
Mees de Wit,nl NED,ZG,AZ Alkmaar,25,10,4,1,0,0,0,1,0,0.3,0.4,6,31,9
Maximilian Wittek,de GER,ZG,Vitesse,27,1,1,0,0,0,0,0,0,0.1,0.2,0,7,7
Melle Witteveen,nl NED,AT,Heerenveen,20,5,0,0,1,0,0,0,0,0.5,0.2,3,3,9
Ricky van Wolfswinkel,nl NED,"AT,LT",Twente,34,32,17,16,1,2,2,4,0,10.3,3.9,18,48,120
Redouan El Yaakoubi,nl NED,"ZG,LT",Excelsior,27,27,25,0,3,0,0,2,0,1.2,2.2,29,122,12
Mehmet Yuksel,nl NED,"ZG,AT",Sparta R'dam,21,2,0,0,0,0,0,0,0,0.0,0.0,0,1,2
Arthur Zagre,fr FRA,ZG,Excelsior,21,28,28,1,4,0,0,6,1,1.6,1.5,66,72,79
Gjivai Zechiël,nl NED,"ZG,LT",Feyenoord,19,2,0,0,0,0,0,0,0,0.1,0.0,2,3,2
Lequincio Zeefuik,nl NED,"LT,AT",AZ Alkmaar,18,6,0,0,1,0,0,0,0,0.2,0.3,2,3,5
Lequincio Zeefuik,nl NED,"AT,LT",Volendam,18,16,8,3,1,0,0,3,0,1.9,0.9,9,9,28
Ramiz Zerrouki,dz ALG,LT,Feyenoord,25,26,15,0,0,0,0,3,0,0.4,1.8,27,153,38
Giovanni van Zwam,nl NED,ZG,Vitesse,19,12,3,0,0,0,0,2,1,0.2,0.0,3,17,2
Willum Þór Willumsson,is ISL,LT,Go Ahead Eag,24,31,31,7,2,0,0,1,1,5.5,3.9,59,137,140
