Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Dwight McNeil,eng ENG,"LT,AT",Everton,23,35,33,3,6,0,0,2,0,3.4,8.8,80,114,147
Scott McTominay,sct SCO,"LT,AT",Manchester Utd,26,32,18,7,1,0,0,2,0,5.7,0.8,29,64,47
Ben Mee,eng ENG,ZG,Brentford,33,16,15,2,0,0,0,1,1,1.5,0.3,11,49,9
Hannibal Mejbri,tn TUN,"LT,AT",Manchester Utd,20,5,1,1,0,0,0,1,0,0.0,0.4,2,6,10
Teden Mengi,eng ENG,ZG,Luton Town,21,30,28,1,0,0,0,3,0,0.6,0.3,15,54,1
Chris Mepham,wls WAL,ZG,Bournemouth,25,10,6,0,1,0,0,2,0,0.1,0.4,4,25,1
Lewis Miley,eng ENG,LT,Newcastle Utd,17,17,14,1,3,0,0,1,0,1.2,1.7,14,53,54
James Milner,eng ENG,"ZG,LT",Brighton,37,15,11,0,2,0,0,3,0,0.3,1.8,11,69,73
Tyrone Mings,eng ENG,ZG,Aston Villa,30,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Tyrick Mitchell,eng ENG,"ZG,LT",Crystal Palace,23,37,37,2,3,0,0,6,0,1.6,2.8,32,94,159
Kaoru Mitoma,jp JPN,AT,Brighton,26,19,15,3,4,0,0,4,0,3.5,2.7,121,64,239
Aleksandar Mitrović,rs SRB,AT,Fulham,28,1,0,0,0,0,0,0,0,0.2,0.0,0,1,0
Jakub Moder,pl POL,"LT,ZG",Brighton,24,17,6,0,0,0,0,2,0,0.6,0.8,10,23,26
Gonzalo Montiel,ar ARG,ZG,Nott'ham Forest,26,14,8,0,2,0,0,5,0,0.1,1.4,10,28,32
Kieffer Moore,wls WAL,"AT,LT",Bournemouth,30,8,0,1,0,0,0,0,0,1.5,0.2,2,4,15
Mikey Moore,eng ENG,LT,Tottenham,15,2,0,0,0,0,0,0,0,0.0,0.0,2,1,2
Álex Moreno,es ESP,ZG,Aston Villa,30,21,11,2,0,0,0,2,0,1.1,1.1,32,24,83
Carlton Morris,eng ENG,"AT,LT",Luton Town,27,38,32,11,4,5,5,4,0,11.4,2.8,37,56,120
Mason Mount,eng ENG,"LT,AT",Manchester Utd,24,14,5,1,0,0,0,2,0,0.4,0.3,9,21,34
Divin Mubama,eng ENG,AT,West Ham,18,5,0,0,0,0,0,0,0,0.1,0.0,0,0,5
Mykhailo Mudryk,ua UKR,AT,Chelsea,22,31,18,5,2,0,0,5,0,4.4,4.1,92,45,139
Rodrigo Muniz,br BRA,AT,Fulham,22,26,18,9,1,0,0,1,0,8.7,2.0,8,19,76
Daniel Muñoz,co COL,"ZG,LT",Crystal Palace,27,16,16,0,4,0,0,4,0,1.2,2.4,25,38,80
Finley Munroe,eng ENG,LT,Aston Villa,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Arijanet Muric,xk KVX,G,Burnley,24,10,10,0,0,0,0,0,0,0.0,0.2,0,1,0
Murillo,br BRA,ZG,Nott'ham Forest,21,32,32,0,2,0,0,5,0,1.8,1.2,22,89,7
Alex Murphy,ie IRL,"ZG,AT",Newcastle Utd,19,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Jacob Murphy,eng ENG,"AT,ZG",Newcastle Utd,28,21,14,3,7,0,0,1,0,2.1,5.0,33,52,113
Vitaliy Mykolenko,ua UKR,ZG,Everton,24,28,28,2,0,0,0,1,0,1.5,0.9,14,55,68
Marvelous Nakamba,zw ZIM,LT,Luton Town,29,13,13,0,0,0,0,5,0,0.2,0.4,1,36,5
Michael Ndiweni,eng ENG,AT,Newcastle Utd,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Reiss Nelson,eng ENG,AT,Arsenal,23,15,1,0,0,0,0,1,0,0.2,0.6,9,5,26
Zack Nelson,eng ENG,"LT,ZG",Luton Town,18,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Neto,br BRA,G,Bournemouth,34,32,32,0,0,0,0,5,0,0.0,0.0,0,0,0
Pedro Neto,pt POR,"AT,LT",Wolves,23,20,18,2,9,0,0,4,0,3.5,4.4,98,54,149
Moussa Niakhate,sn SEN,ZG,Nott'ham Forest,27,21,15,1,0,0,0,5,1,1.1,0.1,13,39,6
Eddie Nketiah,eng ENG,AT,Arsenal,24,27,10,5,2,0,0,3,0,4.5,0.8,22,20,77
Christopher Nkunku,fr FRA,"AT,LT",Chelsea,25,11,2,3,0,0,0,0,0,2.3,0.2,10,19,35
Rhys Norrington-Davies,wls WAL,ZG,Sheffield Utd,24,5,2,0,0,0,0,1,0,0.0,0.0,3,2,6
Oliver Norwood,nir NIR,LT,Sheffield Utd,32,27,16,1,0,1,1,8,0,1.1,0.6,3,73,10
Matheus Nunes,pt POR,LT,Wolves,24,2,2,0,0,0,0,2,1,0.1,0.1,7,8,9
Matheus Nunes,pt POR,LT,Manchester City,24,17,7,0,2,0,0,0,0,0.8,1.1,28,34,58
Darwin Núñez,uy URU,AT,Liverpool,24,36,22,11,8,0,1,9,0,16.3,6.0,58,54,206
Ethan Nwaneri,eng ENG,AT,Arsenal,16,1,0,0,0,0,0,0,0,0.0,0.0,2,2,1
Christian Nørgaard,dk DEN,LT,Brentford,29,31,30,2,1,0,0,8,0,3.5,1.9,15,161,42
Mark O'Mahony,ie IRL,AT,Brighton,18,3,1,0,0,0,0,1,0,0.1,0.0,0,0,0
Dara O'Shea,ie IRL,ZG,Burnley,24,33,32,3,4,0,0,5,1,0.7,2.0,32,122,10
Michael Obafemi,ie IRL,"AT,LT",Burnley,23,2,0,0,0,0,0,0,0,0.1,0.0,0,0,3
Wilson Odobert,fr FRA,"LT,AT",Burnley,18,29,25,3,2,0,0,3,0,2.8,3.3,102,58,123
Odeluga Offiah,eng ENG,ZG,Brighton,20,4,1,0,0,0,0,0,0,0.0,0.0,9,4,9
Chiedozie Ogbene,ie IRL,"LT,ZG",Luton Town,26,30,20,4,1,0,0,1,0,4.2,3.1,127,53,150
Angelo Ogbonna,it ITA,ZG,West Ham,35,11,7,0,0,0,0,1,0,0.0,0.0,2,4,0
Michael Olakigbe,eng ENG,"ZG,AT",Brentford,19,8,0,0,0,0,0,0,0,0.1,0.0,10,4,17
Michael Olise,fr FRA,"AT,LT",Crystal Palace,21,19,14,10,6,1,1,0,0,5.5,5.8,68,78,134
Robin Olsen,se SWE,G,Aston Villa,33,5,4,0,0,0,0,0,0,0.0,0.0,0,0,0
Andrew Omobamidele,ie IRL,ZG,Nott'ham Forest,21,11,8,0,0,0,0,2,0,0.1,0.1,1,8,0
Amadou Onana,be BEL,LT,Everton,21,30,23,2,0,0,0,5,0,2.0,2.7,21,107,39
André Onana,cm CMR,G,Manchester Utd,27,38,38,0,0,0,0,5,0,0.0,0.1,1,5,0
Ryan One,sct SCO,AT,Sheffield Utd,17,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Tyler Onyango,eng ENG,LT,Everton,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Fred Onyedinma,eng ENG,"ZG,LT",Luton Town,26,8,4,0,0,0,0,1,0,0.2,0.1,9,6,21
Frank Onyeka,ng NGA,LT,Brentford,25,26,11,1,2,0,0,8,0,2.2,1.8,17,33,39
Divock Origi,be BEL,AT,Nott'ham Forest,28,20,6,0,1,0,0,1,0,1.4,2.1,19,14,41
Stefan Ortega,de GER,G,Manchester City,30,9,5,0,0,0,0,0,0,0.0,0.0,0,0,0
Ben Osborn,eng ENG,"ZG,LT",Sheffield Utd,28,24,14,0,2,0,0,3,0,0.2,0.9,16,55,44
Gabriel Osho,ng NGA,ZG,Luton Town,24,21,21,2,0,0,0,3,0,1.1,0.1,10,37,4
William Osula,dk DEN,AT,Sheffield Utd,19,21,9,0,0,0,0,4,0,1.6,0.1,7,2,41
Dango Ouattara,bf BFA,"AT,ZG",Bournemouth,21,30,12,1,2,0,0,3,0,2.6,1.5,47,35,90
David Ozoh,eng ENG,"LT,ZG",Crystal Palace,18,9,0,0,0,0,0,1,0,0.0,0.0,2,4,3
João Palhinha,pt POR,LT,Fulham,28,33,31,4,1,0,0,13,0,3.3,0.8,8,97,14
Cole Palmer,eng ENG,"AT,LT",Chelsea,21,33,29,22,11,9,9,7,0,18.2,11.1,117,197,195
Cole Palmer,eng ENG,LT,Manchester City,21,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Emerson Palmieri,it ITA,ZG,West Ham,28,36,35,1,2,0,0,10,0,1.5,2.4,59,125,124
Lucas Paquetá,br BRA,"AT,LT",West Ham,25,31,31,4,6,2,2,10,0,5.4,5.4,34,187,116
Ben Parkinson,eng ENG,AT,Newcastle Utd,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Thomas Partey,gh GHA,"LT,ZG",Arsenal,30,14,9,0,0,0,0,3,0,0.4,0.3,15,72,10
Nathan Patterson,sct SCO,ZG,Everton,21,20,9,0,2,0,0,4,0,0.3,1.7,17,38,39
Myles Peart-Harris,eng ENG,"ZG,LT",Brentford,20,3,0,0,0,0,0,0,0,0.0,0.0,2,1,1
Sydie Peck,eng ENG,LT,Sheffield Utd,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Facundo Pellistri,uy URU,"AT,LT",Manchester Utd,21,9,1,0,1,0,0,0,0,0.7,0.1,6,6,31
Andreas Pereira,br BRA,LT,Fulham,27,37,34,3,7,0,0,6,0,4.6,7.1,56,138,125
Ivan Perišić,hr CRO,AT,Tottenham,34,5,0,0,1,0,0,2,0,0.1,0.9,15,9,17
Đorđe Petrović,rs SRB,G,Chelsea,23,23,22,0,0,0,0,2,0,0.0,0.0,0,1,0
Kalvin Phillips,eng ENG,LT,West Ham,27,8,3,0,0,0,0,3,1,0.1,0.0,3,19,4
Kalvin Phillips,eng ENG,LT,Manchester City,27,4,0,0,0,0,0,0,0,0.1,0.0,7,7,3
Jaden Philogene Bidace,eng ENG,AT,Aston Villa,21,1,0,0,0,0,0,0,0,0.0,0.0,2,0,1
Jordan Pickford,eng ENG,G,Everton,29,38,38,0,0,0,0,5,0,0.0,0.1,1,6,0
Ethan Pinnock,jm JAM,ZG,Brentford,30,29,28,2,0,0,0,1,0,2.0,1.0,11,61,16
Nick Pope,eng ENG,G,Newcastle Utd,31,15,15,0,0,0,0,1,0,0.0,0.0,0,0,0
Pedro Porro,es ESP,ZG,Tottenham,23,35,35,3,7,0,0,3,0,2.9,7.2,57,194,158
Jarell Quansah,eng ENG,ZG,Liverpool,20,17,13,2,0,0,0,1,0,1.0,0.1,13,67,1
Ionuț Radu,ro ROU,G,Bournemouth,26,2,2,0,0,0,0,0,0,0.0,0.0,0,0,0
Jesurun Rak Sakyi,eng ENG,"LT,AT",Crystal Palace,20,6,0,0,0,0,0,0,0,0.4,0.2,7,2,18
