Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Sydney van Hooijdonk,nl NED,AT,Bologna,23,9,2,0,0,0,0,0,0,0.6,0.1,1,2,9
Dean Huijsen,es ESP,ZG,Roma,18,13,4,2,0,0,0,4,0,0.4,0.1,4,18,15
Dean Huijsen,es ESP,ZG,Juventus,18,1,0,0,0,0,0,0,0,0.0,0.0,0,2,0
Elseid Hysaj,al ALB,ZG,Lazio,29,22,11,0,0,0,0,2,0,0.2,0.4,27,51,41
Arijon Ibrahimović,de GER,"AT,ZG",Frosinone,17,16,5,1,1,0,0,1,0,0.8,0.7,10,22,54
Jonathan Ikone,fr FRA,AT,Fiorentina,25,28,18,3,1,0,0,5,0,4.6,2.0,51,58,154
Chukwubuikem Ikwuemesi,ng NGA,AT,Salernitana,21,25,11,1,1,0,0,2,0,2.4,0.7,11,10,70
Ivan Ilić,rs SRB,LT,Torino,22,31,25,3,2,0,0,3,0,2.1,5.0,49,138,52
Samuel Iling-Junior,eng ENG,"ZG,LT",Juventus,19,24,4,1,2,0,0,1,0,0.7,1.3,29,25,64
Ciro Immobile,it ITA,AT,Lazio,33,31,21,7,1,4,4,8,0,9.7,2.1,19,39,123
Gino Infantino,ar ARG,LT,Fiorentina,20,6,0,0,0,0,0,1,0,0.0,0.0,0,7,4
Gustav Isaksen,dk DEN,AT,Lazio,22,28,12,3,1,0,0,3,0,1.6,2.6,36,21,95
Ardian Ismajli,al ALB,ZG,Empoli,26,26,23,0,0,0,0,2,0,0.3,0.1,9,49,3
Armando Izzo,it ITA,ZG,Monza,31,23,20,0,0,0,0,9,0,0.7,0.5,15,59,7
Filip Jagiełło,pl POL,LT,Genoa,25,2,0,0,0,0,0,0,0,0.0,0.0,1,2,2
Jakub Jankto,cz CZE,"LT,AT",Cagliari,27,18,13,1,2,0,0,0,0,1.5,0.5,12,26,48
Juan Jesus,br BRA,ZG,Napoli,32,24,23,1,0,0,0,7,0,1.3,0.3,6,82,2
Alejandro Jiménez,es ESP,ZG,Milan,18,3,0,0,0,0,0,1,0,0.0,0.1,2,2,3
Kaio Jorge,br BRA,AT,Frosinone,21,20,8,3,0,1,2,2,0,5.4,0.3,6,11,46
Luka Jović,rs SRB,AT,Milan,25,23,8,6,1,0,0,2,1,4.9,0.8,6,22,47
Hamed Junior Traorè,ci CIV,LT,Napoli,23,9,5,0,0,0,0,1,0,0.9,0.7,12,21,19
Mohamed Kaba,fr FRA,LT,Lecce,21,23,15,0,0,0,0,4,1,1.2,0.9,14,60,32
Christian Kabasele,be BEL,ZG,Udinese,32,13,10,1,1,0,0,5,0,1.2,0.5,7,22,1
Yayah Kallon,sl SLE,AT,Hellas Verona,22,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Pierre Kalulu,fr FRA,ZG,Milan,23,9,4,0,0,0,0,0,0,0.1,0.1,6,19,11
Daichi Kamada,jp JPN,LT,Lazio,26,29,17,2,2,0,0,3,0,1.8,2.8,40,96,78
Hassane Kamara,ci CIV,ZG,Udinese,29,35,27,1,1,0,0,4,0,1.9,2.8,61,81,93
Yann Karamoh,fr FRA,"LT,AT",Torino,25,10,1,0,0,0,0,0,0,0.1,0.1,11,5,12
Jesper Karlsson,se SWE,AT,Bologna,25,7,4,0,0,0,0,0,0,0.4,0.3,13,16,35
Rick Karsdorp,nl NED,ZG,Roma,28,18,14,0,2,0,0,2,0,0.4,2.2,12,33,71
Grigoris Kastanos,cy CYP,"LT,ZG",Salernitana,25,26,18,3,3,0,0,5,0,2.9,2.8,28,78,69
Michael Kayode,it ITA,ZG,Fiorentina,19,26,22,1,1,0,0,2,0,0.5,1.1,45,80,102
Moise Kean,it ITA,AT,Juventus,23,19,8,0,0,0,0,2,0,2.1,0.7,12,6,38
Simon Kjær,dk DEN,ZG,Milan,34,20,14,0,1,0,0,1,0,0.5,0.8,4,52,0
Davy Klaassen,nl NED,LT,Inter,30,13,1,0,0,0,0,1,0,0.1,0.2,1,7,5
Sead Kolašinac,ba BIH,ZG,Atalanta,30,30,25,1,0,0,0,4,0,1.3,1.1,32,94,30
Teun Koopmeiners,nl NED,LT,Atalanta,25,34,29,12,5,2,2,5,0,6.5,5.9,79,169,190
Filip Kostić,rs SRB,ZG,Juventus,30,29,26,0,4,0,0,2,0,0.7,5.4,64,88,95
Christian Kouamé,ci CIV,AT,Fiorentina,25,23,11,2,1,0,0,0,0,1.9,1.8,12,41,110
Viktor Kovalenko,ua UKR,LT,Empoli,27,17,4,1,1,0,0,1,0,0.9,0.8,4,20,24
Rasmus Kristensen,dk DEN,ZG,Roma,26,29,19,1,1,0,0,5,0,0.5,0.9,16,40,115
Thomas Kristensen,dk DEN,ZG,Udinese,21,26,23,0,1,0,0,4,1,1.1,0.4,20,47,3
Nikola Krstović,me MNE,AT,Lecce,23,35,30,7,1,1,3,4,1,11.6,3.0,32,52,126
Rade Krunić,ba BIH,LT,Milan,29,10,8,0,0,0,0,3,0,0.1,0.5,5,24,3
Marash Kumbulla,al ALB,ZG,Sassuolo,23,7,3,0,0,0,0,1,0,0.0,0.0,2,3,0
Justin Kumi,it ITA,AT,Sassuolo,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Berkan Kutlu,tr TUR,LT,Genoa,25,6,0,0,0,0,0,0,0,0.2,0.3,4,5,9
Khvicha Kvaratskhelia,ge GEO,AT,Napoli,22,34,32,11,6,0,0,8,0,11.1,6.8,184,89,266
Giorgi Kvernadze,ge GEO,"AT,ZG",Frosinone,20,5,0,0,0,0,0,0,0,0.0,0.0,0,1,6
Giorgos Kyriakopoulos,gr GRE,ZG,Monza,27,28,20,0,3,0,0,3,0,1.2,1.4,64,70,94
Gianluca Lapadula,pe PER,AT,Cagliari,33,23,14,3,1,1,1,3,0,4.8,1.1,8,4,63
Armand Lauriente,fr FRA,AT,Sassuolo,24,37,35,5,4,0,0,5,0,5.7,4.0,125,99,268
Valentino Lazaro,at AUT,"ZG,LT",Torino,27,35,21,0,4,0,0,3,0,1.7,2.9,53,94,106
Darko Lazović,rs SRB,"AT,LT",Hellas Verona,32,32,22,3,2,1,1,0,1,2.8,4.4,43,66,139
Manuel Lazzari,it ITA,ZG,Lazio,29,24,19,0,2,0,0,4,1,1.0,1.3,73,62,104
Nicola Leali,it ITA,G,Genoa,30,3,2,0,0,0,0,1,0,0.0,0.0,0,0,0
Rafael Leão,pt POR,AT,Milan,24,34,29,9,9,0,0,5,0,10.0,9.1,160,117,293
Jesper Lindstrøm,dk DEN,"AT,LT",Napoli,23,22,2,0,0,0,0,2,0,0.7,1.0,16,16,34
Karol Linetty,pl POL,LT,Torino,28,28,19,0,0,0,0,12,0,0.5,0.8,31,87,25
Luca Lipani,it ITA,LT,Sassuolo,18,8,5,0,0,0,0,0,0,0.1,0.2,6,20,3
Pol Lirola,es ESP,ZG,Frosinone,25,25,18,2,1,0,0,1,0,1.3,1.1,30,65,59
Marcin Listkowski,pl POL,AT,Lecce,25,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Diego Llorente,es ESP,ZG,Roma,29,29,27,1,1,0,0,5,0,0.3,0.6,20,75,5
Stanislav Lobotka,sk SVK,LT,Napoli,28,38,38,0,1,0,0,4,0,0.6,1.3,29,188,34
Manuel Locatelli,it ITA,LT,Juventus,25,36,34,1,4,0,0,6,0,1.3,1.4,21,232,26
Ruben Loftus-Cheek,eng ENG,LT,Milan,27,29,26,6,1,0,0,5,0,3.7,2.4,73,74,113
Ademola Lookman,ng NGA,"AT,LT",Atalanta,25,31,22,11,7,0,0,4,0,9.1,5.2,72,97,222
Maxime Lopez,fr FRA,LT,Fiorentina,25,19,7,0,0,0,0,1,0,0.2,0.6,14,48,11
Maxime Lopez,fr FRA,LT,Sassuolo,25,2,2,0,0,0,0,0,1,0.0,0.2,2,18,4
Matteo Lovato,it ITA,ZG,Torino,23,13,6,0,0,0,0,2,0,0.0,0.0,0,4,0
Matteo Lovato,it ITA,ZG,Salernitana,23,13,11,0,0,0,0,2,0,0.0,0.2,1,29,1
